lat,lon,distance,pci,mean_rsrp,std_rsrp
51.38331,12.229568112161989,2400.716158655156,218,-168.23837,16.148619
51.38331,12.230286320291544,2427.230933596823,218,-172.09885,17.050722
51.38331,12.2310045284211,2454.4775271025264,218,-176.0567,17.93127
51.38331,12.231722736550656,2482.431842475791,218,-180.18987,18.654713
51.38331,12.23244094468021,2511.0702438321737,218,-184.4339,19.215073
51.38331,12.233159152809764,2540.36959551154,218,-188.71387,19.668543
51.38331,12.23387736093932,2570.307294771044,218,-192.95436,20.066214
51.38331,12.234595569068876,2600.8612982410227,218,-197.13025,20.403486
51.38331,12.235313777198431,2632.010142686986,218,-201.18224,20.586554
51.38331,12.236031985327989,2663.732960541587,218,-204.65515,20.69965
51.38331,12.236750193457542,2696.009490764912,218,-207.4296,20.862778
51.38331,12.237468401587098,2728.820085465876,218,-209.97531,21.028473
51.38331,12.238186609716651,2762.145712792507,218,-212.42139,21.19335
51.38331,12.238904817846208,2795.967956512576,218,-214.76137,21.405632
51.38331,12.239623025975764,2830.2690127035985,218,-217.01794,21.61377
51.38331,12.24034123410532,2865.031683935515,218,-219.17468,21.872278
51.38331,12.241059442234874,2900.2393713056176,218,-221.29475,22.147442
51.38331,12.24177765036443,2935.876064653892,218,-223.34851,22.45935
51.38331,12.242495858493983,2971.926331243767,218,-225.34447,22.819294
51.38331,12.24321406662354,3008.375303191136,218,-227.2865,23.189953
51.38331,12.243932274753096,3045.2086638718406,218,-229.16406,23.578426
51.38331,12.244650482882651,3082.412633526506,218,-230.98294,23.986343
51.38331,12.245368691012208,3119.9739542568227,218,-232.7799,24.403683
51.38331,12.246086899141762,3157.879874575266,218,-234.5565,24.839172
51.38331,12.246805107271316,3196.118133661306,218,-236.06375,25.290276
51.38331,12.247523315400873,3234.67694545251,218,-236.76192,25.75129
51.38331,12.248241523530428,3273.544982673041,218,-236.95535,26.224106
51.38331,12.248959731659983,3312.711360912378,218,-236.5795,26.768866
51.38331,12.24967793978954,3352.1656228221377,218,-235.09444,27.229776
51.38331,12.250396147919094,3391.8977224978203,218,-232.52849,27.488386
51.38331,12.25111435604865,3431.8980101204397,218,-229.14581,27.786512
51.38331,12.251832564178205,3472.157216881053,218,-224.33884,27.819841
51.38331,12.25255077230776,3512.6664402532083,218,-218.83499,27.756128
51.38331,12.253268980437316,3553.4171296175628,218,-213.50043,27.347965
51.38331,12.253987188566873,3594.40107228644,218,-208.51012,26.64608
51.38331,12.254705396696426,3635.610379927591,218,-203.80957,25.767265
51.38331,12.255423604825982,3677.037475409411,218,-199.41507,24.766048
51.38331,12.256141812955535,3718.675080083597,218,-195.462,23.60308
51.38331,12.256860021085092,3760.516201480758,218,-191.88658,22.385714
51.38331,12.257578229214648,3802.554121459018,218,-189.04697,21.253002
51.38331,12.258296437344203,3844.7823847779646,218,-187.1962,20.410393
51.38331,12.25901464547376,3887.194788091979,218,-185.76698,19.689344
51.38331,12.259732853603314,3929.7853693837774,218,-184.44214,19.02633
51.38331,12.26045106173287,3972.548397793282,218,-183.17236,18.42522
51.38331,12.261169269862425,4015.47836387079,218,-182.01027,17.919638
51.38331,12.26188747799198,4058.569970210274,218,-180.98047,17.512318
51.38331,12.262605686121535,4101.81812248294,218,-180.00186,17.15935
51.38331,12.26332389425109,4145.217920828621,218,-179.03928,16.839176
51.38331,12.264042102380646,4188.764651633662,218,-178.12617,16.55403
51.38331,12.2647603105102,4232.453779633384,218,-177.22067,16.304169
51.38331,12.265478518639757,4276.280940371703,218,-176.35382,16.15125
51.38331,12.266196726769312,4320.241932984611,218,-175.52513,16.093061
51.38331,12.266914934898868,4364.332713289194,218,-174.75604,16.082638
51.38331,12.267633143028425,4408.549387184496,218,-173.98836,16.08915
51.38331,12.268351351157978,4452.888204342345,218,-173.22018,16.110806
51.38331,12.269069559287534,4497.345552169021,218,-172.45047,16.14985
51.38331,12.269787767417087,4541.917950044858,218,-171.68015,16.207294
