lat,lon,distance,pci,mean_rsrp
51.38375941553636,12.287024762526418,5621.001081674012,216,-296.82526
51.38375941553636,12.287742970655973,5667.759652410721,216,-309.10406
51.38375941553636,12.288461178785528,5714.57292706739,216,-318.9391
51.38375941553636,12.289179386915084,5761.439572187825,216,-324.7205
51.38375941553636,12.28989759504464,5808.3582958553525,216,-325.36688
51.38375941553636,12.290615803174195,5855.327846149746,216,-326.01508
51.38375941553636,12.29133401130375,5902.347009667085,216,-326.66394
51.38375941553636,12.292052219433305,5949.414610100415,216,-327.31445
51.38375941553636,12.29277042756286,5996.529506878955,216,-327.9664
51.38375941553636,12.293488635692416,6043.690593872865,216,-328.6187
51.38375941553636,12.294206843821971,6090.896798140482,216,-329.27112
51.38375941553636,12.294925051951527,6138.147078739167,216,-329.92523
51.38375941553636,12.295643260081082,6185.440425571713,216,-330.52124
51.38375941553636,12.296361468210637,6232.775858294975,216,-331.00906
51.38375941553636,12.297079676340193,6280.1524252612035,216,-331.42075
51.38375941553636,12.297797884469748,6327.569202509073,216,-331.5065
51.38375941553636,12.298516092599304,6375.025292795537,216,-331.59378
51.38375941553636,12.299234300728859,6422.519824662155,216,-331.68243
51.38375941553636,12.299952508858414,6470.051951542466,216,-331.77216
51.38375941553636,12.30067071698797,6517.620850907139,216,-331.86316
51.38375941553636,12.301388925117525,6565.225723436081,216,-331.98346
51.38375941553636,12.30210713324708,6612.865792232169,216,-332.17285
51.38375941553636,12.302825341376636,6660.540302057523,216,-332.36337
51.38375941553636,12.303543549506191,6708.248518606321,216,-332.55054
51.38375941553636,12.304261757635746,6755.989727802928,216,-332.73608
51.38375941553636,12.304979965765302,6803.763235124934,216,-333.24048
51.38375941553636,12.305698173894857,6851.5683649580105,216,-334.12787
51.38375941553636,12.306416382024413,6899.404459973784,216,-335.02478
51.38375941553636,12.307134590153968,6947.270880525697,216,-335.93195
51.38375941553636,12.307852798283523,6995.167004075855,216,-336.84528
51.38375941553636,12.308571006413079,7043.092224639338,216,-337.77267
51.38375941553636,12.309289214542634,7091.045952250974,216,-338.91428
51.38375941553636,12.31000742267219,7139.027612449648,216,-340.05948
51.38375941553636,12.310725630801745,7187.036645785542,216,-341.18768
51.38375941553636,12.3114438389313,7235.072507342093,216,-342.3152
51.38375941553636,12.312162047060855,7283.134666279844,216,-343.50787
51.384208831038066,12.184321,2715.75214497326,216,-103.29334
51.384208831038066,12.185039208129556,2681.1287894105544,216,-98.22233
51.384208831038066,12.185757416259111,2646.996667030377,216,-93.31203
51.384208831038066,12.186475624388667,2613.3750252378677,216,-88.34436
51.384208831038066,12.187193832518222,2580.2838191225114,216,-84.46805
51.384208831038066,12.187912040647777,2547.743717360706,216,-81.63954
51.384208831038066,12.188630248777333,2515.7761046891296,216,-79.372086
51.384208831038066,12.189348456906888,2484.403080413655,216,-79.581406
51.384208831038066,12.190066665036444,2453.647452365366,216,-82.86405
51.384208831038066,12.190784873165999,2423.5327256972737,216,-87.85552
51.384208831038066,12.191503081295554,2394.0830858725535,216,-92.666084
51.384208831038066,12.19222128942511,2365.32337517,216,-97.59095
51.384208831038066,12.192939497554665,2337.2790620136116,216,-103.51531
51.384208831038066,12.19365770568422,2309.9762024495913,216,-110.11417
51.384208831038066,12.194375913813776,2283.441393072702,216,-117.004425
51.384208831038066,12.195094121943331,2257.7017147737024,216,-123.65454
51.384208831038066,12.195812330072886,2232.7846666823025,216,-130.36153
51.384208831038066,12.196530538202442,2208.71808980958,216,-140.05911
51.384208831038066,12.197248746331997,2185.5300799414895,216,-148.40799
51.384208831038066,12.197966954461553,2163.248889525693,216,-156.37555
51.384208831038066,12.198685162591108,2141.9028183745545,216,-166.67523
51.384208831038066,12.199403370720663,2121.520093310902,216,-176.0646
51.384208831038066,12.200121578850219,2102.1287370019472,216,-185.29282
51.384208831038066,12.200839786979774,2083.7564265499177,216,-188.36377
51.384208831038066,12.20155799510933,2066.4303426696806,216,-189.63391
51.384208831038066,12.202276203238885,2050.1770105738647,216,-191.33994
51.384208831038066,12.20299441136844,2035.0221340177138,216,-197.10117
51.384208831038066,12.203712619497995,2020.990424241558,216,-203.76443
51.384208831038066,12.20443082762755,2008.1054258911504,216,-210.58804
51.384208831038066,12.205149035757106,1996.389342237144,216,-218.04659
51.384208831038066,12.205867243886662,1985.8628622834788,216,-227.21095
51.384208831038066,12.206585452016217,1976.5449925287353,216,-233.88834
51.384208831038066,12.207303660145772,1968.4528962837658,216,-240.68604
51.384208831038066,12.208021868275328,1961.601743470576,216,-254.49213
51.384208831038066,12.208740076404883,1956.0045738178185,216,-266.61115
51.384208831038066,12.209458284534438,1951.6721761893907,216,-275.64227
51.384208831038066,12.210176492663994,1948.6129865965631,216,-284.98218
51.384208831038066,12.210894700793549,1946.8330070838558,216,-294.10107
51.384208831038066,12.211612908923104,1946.3357472749667,216,-300.13983
51.384208831038066,12.21233111705266,1947.1221899203506,216,-303.9162
51.384208831038066,12.213049325182215,1949.1907812090722,216,-306.9705
51.384208831038066,12.21376753331177,1952.5374460776757,216,-309.77283
51.384208831038066,12.214485741441326,1957.1556281574797,216,-313.96802
51.384208831038066,12.215203949570881,1963.0363534653527,216,-318.66306
51.384208831038066,12.215922157700437,1970.1683163967587,216,-325.69595
51.384208831038066,12.216640365829992,1978.5379861264505,216,-332.65594
51.384208831038066,12.217358573959547,1988.1297311429046,216,-339.99677
51.384208831038066,12.218076782089103,1998.9259593239312,216,-347.08224
51.384208831038066,12.218794990218658,2010.9072707504934,216,-353.11612
51.384208831038066,12.219513198348213,2024.0526203483305,216,-357.88647
51.384208831038066,12.220231406477769,2038.3394874282062,216,-360.38144
51.384208831038066,12.220949614607324,2053.7440492316573,216,-361.13123
51.384208831038066,12.22166782273688,2070.241355777631,216,-361.49274
51.384208831038066,12.222386030866435,2087.805503453149,216,-356.93387
51.384208831038066,12.22310423899599,2106.409805092068,216,-352.2298
51.384208831038066,12.223822447125546,2126.0269545275337,216,-347.70728
51.384208831038066,12.224540655255101,2146.6291839537207,216,-343.44232
51.384208831038066,12.225258863384656,2168.18841272249,216,-335.58124
51.384208831038066,12.225977071514212,2190.6763864961003,216,-320.8578
51.384208831038066,12.226695279643767,2214.0648060194685,216,-316.33856
51.384208831038066,12.227413487773322,2238.3254450066675,216,-313.04263
51.384208831038066,12.228131695902878,2263.4302569033766,216,-308.5995
51.384208831038066,12.228849904032433,2289.3514705146254,216,-303.6422
51.384208831038066,12.229568112161989,2316.061674655582,216,-298.10757
51.384208831038066,12.230286320291544,2343.5338921443076,216,-291.25763
51.384208831038066,12.2310045284211,2371.7416436014287,216,-283.46136
51.384208831038066,12.231722736550655,2400.659001586835,216,-279.63452
51.384208831038066,12.23244094468021,2430.2606356775923,216,-275.93082
51.384208831038066,12.233159152809765,2460.5218491728056,216,-272.628
51.384208831038066,12.23387736093932,2491.4186080805343,216,-267.7835
51.384208831038066,12.234595569068876,2522.9275630904935,216,-260.16336
51.384208831038066,12.235313777198431,2555.0260652241186,216,-253.82053
51.384208831038066,12.236031985327987,2587.692175819014,216,-248.3267
51.384208831038066,12.236750193457542,2620.9046714926876,216,-245.75616
51.384208831038066,12.237468401587098,2654.6430446913405,216,-241.46228
51.384208831038066,12.238186609716653,2688.8875003982544,216,-240.68532
51.384208831038066,12.238904817846208,2723.6189495328917,216,-241.51654
51.384208831038066,12.239623025975764,2758.8189995124094,216,-239.91544
51.384208831038066,12.240341234105319,2794.469942445851,216,-238.29099
51.384208831038066,12.241059442234874,2830.554741340805,216,-237.36903
51.384208831038066,12.24177765036443,2867.0570146965874,216,-237.32323
51.384208831038066,12.242495858493985,2903.9610198149594,216,-238.51367
51.384208831038066,12.24321406662354,2941.2516350953156,216,-245.50618
51.384208831038066,12.243932274753096,2978.9143415933227,216,-257.3878
51.384208831038066,12.244650482882651,3016.9352040385984,216,-269.34344
51.384208831038066,12.245368691012207,3055.3008515355127,216,-281.00018
