lat,lon,distance,rsrp,pci,lat_minmax,lon_minmax,distance_minmax,rsrp_minmax,pci_minmax,lat_meannorm,lon_meannorm,distance_meannorm,rsrp_meannorm
51.403625,12.209045,220.97429830396743,-93.2,217.0,0.48735725938005553,0.19386506915910784,0.043962954752435564,0.4515624999999999,0.0014084507042253522,0.0920038693912197,-0.6923133676657989,-1.1899406511701205,0.33188745361626837
51.40363,12.209094,218.80780203996076,-93.2,217.0,0.4874772094808517,0.19424928645359577,0.04348569097516674,0.4515624999999999,0.0014084507042253522,0.09269205562043366,-0.6902296110824522,-1.1933755929368814,0.33188745361626837
51.403636,12.209142,216.8008395129436,-95.1,217.0,0.4876211496017389,0.19462566257880046,0.04304357134985533,0.42187500000000006,0.0014084507042253522,0.09351787909509922,-0.6881883801437066,-1.1965575967662465,0.1502492481050912
51.403642,12.209188,214.9294056694693,-94.8,217.0,0.48776508972262617,0.1949863563654526,0.04263130773330357,0.4265625,0.0014084507042253522,0.09434370256976478,-0.6862322004940881,-1.1995247222487486,0.1789289647647506
51.403648,12.209238,212.8926836426071,-95.1,217.0,0.48790902984351336,0.19537841482920984,0.04218263230102326,0.42187500000000006,0.0014084507042253522,0.09516952604443035,-0.6841059182662156,-1.2027539092423198,0.1502492481050912
51.403654,12.209284,211.0914962932681,-95.5,217.0,0.48805296996457104,0.19573910861587593,0.041785843489430964,0.41562499999999997,0.0014084507042253522,0.09599534952007388,-0.6821497386165215,-1.2056096601424222,0.11200962589221106
51.403663,12.209334,209.37146812082403,-94.4,217.0,0.48826888014590186,0.19613116707963313,0.04140693346949339,0.4328124999999999,0.0014084507042253522,0.09723408473207222,-0.6800234563886489,-1.2083367345933178,0.21716858697762934
51.403671,12.209382,207.71404982869683,-95.5,217.0,0.4884608003071417,0.19650754320483782,0.04104181596259671,0.41562499999999997,0.0014084507042253522,0.09833518269861896,-0.6779822254499034,-1.210964542178867,0.11200962589221106
51.403682,12.209428,206.44076860407645,-94.2,217.0,0.48872469052882506,0.19686823699150394,0.040761321130048996,0.4359374999999999,0.0014084507042253522,0.09984919240249848,-0.6760260458002093,-1.2129833071921943,0.2362883980840694
51.403755,12.209659,202.36849044539667,-76.0,217.0,0.49047596199973315,0.19867954709406194,0.0398642271039063,0.7203125,0.0014084507042253522,0.10989671134491481,-0.6662026219074398,-1.219439832673225,1.9761912087700904
